gia ton kivo 
	akmi		emvadon		xwritikotita		xwritikotita/kostos 
1.000000		6.000000		1.000000		6000.000000		0.000167 
1.001000		6.012007		1.003003		6012.006836		0.000167 
1.002000		6.024025		1.006012		6024.024902		0.000167 
1.003000		6.036056		1.009027		6036.055664		0.000167 
1.004000		6.048098		1.012049		6048.098145		0.000167 
1.005000		6.060153		1.015076		6060.152832		0.000168 
1.006000		6.072219		1.018109		6072.219238		0.000168 
1.007000		6.084298		1.021148		6084.298340		0.000168 
1.008000		6.096388		1.024194		6096.388184		0.000168 
1.009000		6.108491		1.027245		6108.490723		0.000168 
1.010000		6.120605		1.030302		6120.605469		0.000168 
1.011001		6.132732		1.033366		6132.732422		0.000169 
1.012001		6.144871		1.036435		6144.870605		0.000169 
1.013001		6.157022		1.039511		6157.021484		0.000169 
1.014001		6.169184		1.042593		6169.183594		0.000169 
1.015001		6.181358		1.045681		6181.358398		0.000169 
1.016001		6.193545		1.048774		6193.545410		0.000169 
1.017001		6.205744		1.051874		6205.743652		0.000170 
1.018001		6.217954		1.054980		6217.954102		0.000170 
1.019001		6.230177		1.058093		6230.176758		0.000170 
1.020001		6.242412		1.061211		6242.411621		0.000170 
1.021001		6.254658		1.064335		6254.658203		0.000170 
1.022001		6.266917		1.067466		6266.916992		0.000170 
1.023001		6.279187		1.070603		6279.187012		0.000171 
1.024001		6.291470		1.073745		6291.469727		0.000171 
1.025001		6.303764		1.076894		6303.764160		0.000171 
1.026001		6.316071		1.080049		6316.070801		0.000171 
1.027001		6.328390		1.083211		6328.389648		0.000171 
1.028001		6.340720		1.086378		6340.720215		0.000171 
1.029001		6.353063		1.089552		6353.062500		0.000172 
1.030001		6.365417		1.092731		6365.417480		0.000172 
1.031001		6.377784		1.095917		6377.783691		0.000172 
1.032001		6.390162		1.099110		6390.162598		0.000172 
1.033002		6.402553		1.102308		6402.553223		0.000172 
1.034002		6.414956		1.105512		6414.955566		0.000172 
1.035002		6.427371		1.108723		6427.370605		0.000173 
1.036002		6.439797		1.111940		6439.796875		0.000173 
1.037002		6.452236		1.115163		6452.235840		0.000173 
